Attribute 	Generic Key 	ID3v22 	ID3v23 	ID3v24 	Mp4 	OggVorbis 	Flac 	Wma
Artist 	ARTIST 	TP1 	TPE1 	TPE1 	©ART 	ARTIST 	ARTIST 	AUTHOR
Album 	ALBUM 	TAL 	TALB 	TALB 	©alb 	ALBUM 	ALBUM 	WM/AlbumTitle
Title 	TITLE 	TT2 	TIT2 	TIT2 	©nam 	TITLE 	TITLE 	TITLE
Track Number 	TRACK 	TRK 	TRCK 	TRCK 	trkn 	TRACKNUMBER 	TRACKNUMBER 	WM/TrackNumber
Year 	YEAR 	TYE 	TYER 	TDRC 	©day 	DATE 	DATE 	WM/Year
Genre 	GENRE 	TCO 	TCON 	TCON 	©gen 	GENRE 	GENRE 	WM/Genre OR WM/GenreID
Comment 	COMMENT 	COM:description 	COMM:description 	COMM 	©cmt 	COMMENT 	COMMENT 	DESCRIPTION
Album Artist 	ALBUM_ARTIST 	TP2 	TPE2 	TPE2 	aART 	ALBUMARTIST 	ALBUMARTIST 	WM/AlbumArtist
Composer 	COMPOSER 	TCM 	TCOM 	TCOM 	©wrt 	COMPOSER 	COMPOSER 	WM/Composer
Grouping 	GROUPING 	TT1 	TIT1 	TIT1 	©grp 	GROUPING 	GROUPING 	WM/ContentGroupDescription
Disc Number 	DISC_NO 	TPA 	TPOS 	TPOS 	disk 	DISCNUMBER 	DISCNUMBER 	WM/PartOfSet
Cover 	COVER_ART 	PIC 	APIC 	APIC 	covr 	COVERART and COVERARTMIME 	MetadataBlockDataPicture 	WM/Picture
Bpm 	BPM 	TBP 	TBPM 	TBPM 	tmpo 	BPM 	BPM 	WM/BeatsPerMinute
Musicbrainz Artistid 	MUSICBRAINZ_ARTISTID 	TXX:MusicBrainz Artist Id 	TXXX:MusicBrainz Artist Id 	TXXX:MusicBrainz Artist Id 	----:com.apple.iTunes:MusicBrainz Artist Id 	MUSICBRAINZ_ARTISTID 	MUSICBRAINZ_ARTISTID 	MusicBrainz/Artist Id
Musicbrainz Releaseid 	MUSICBRAINZ_RELEASEID 	TXX:MusicBrainz Album Id 	TXXX:MusicBrainz Album Id 	TXXX:MusicBrainz Album Id 	----:com.apple.iTunes:MusicBrainz Album Id 	MUSICBRAINZ_ALBUMID 	MUSICBRAINZ_ALBUMID 	MusicBrainz/Album Id
Musicbrainz Release artistid 	MUSICBRAINZ_RELEASEARTISTID 	TXX:MusicBrainz Album Artist Id 	TXXX:MusicBrainz Album Artist Id 	TXXX:MusicBrainz Album Artist Id 	----:com.apple.iTunes:MusicBrainz Album Artist Id 	MUSICBRAINZ_ALBUMARTISTID 	MUSICBRAINZ_ALBUMARTISTID 	MusicBrainz/Album Artist Id
Musicbrainz Track Id 	MUSICBRAINZ_TRACK_ID 	UFI:http://musicbrainz.org 	UFID:http://musicbrainz.org 	UFID:http://musicbrainz.org 	----:com.apple.iTunes:MusicBrainz Track Id 	MUSICBRAINZ_TRACKID 	MUSICBRAINZ_TRACKID 	MusicBrainz/Track Id
Musicbrainz Disc Id 	MUSICBRAINZ_DISC_ID 	TXX:MusicBrainz Disc Id 	TXXX:MusicBrainz Disc Id 	TXXX:MusicBrainz Disc Id 	----:com.apple.iTunes:MusicBrainz Disc Id 	MUSICBRAINZ_DISCID 	MUSICBRAINZ_DISCID 	MusicBrainz/Disc Id
